Name,Address,State,PIN,Tel,Email
,"Joshi Complex, Shop No 6, Khalai Galli,  Gulbarga",Karnataka,585105,"Tel :
															JKJFENHLKL",ROYALBLACKOLIVES@GMAIL.COM
ABDUL SALAM,"Joshi Complex, Shop No 6, Khalai Galli,  Gulbarga",Karnataka,585105,"Tel :
															JKJFENHLKL",ROYALBLACKOLIVES@GMAIL.COM
,"111A/224  ASHOK NAGAR  , R K NAGAR KANPUR",Uttar Pradesh,208012,"Tel :
															JCLIJOIQOKLU",buddyoverseas@yahoo.in
BUDDY OVERSEAS,"111A/224  ASHOK NAGAR  , R K NAGAR KANPUR",Uttar Pradesh,208012,"Tel :
															JCLIJOIQOKLU",buddyoverseas@yahoo.in
,WATIRALIROAD(HADARGRAM)WARDNO.22P.O.KARIMGANJ KARIMGANJ,Assam,788711,"Tel :
															JFFIJNLKQQ",mohanbps@yahoo.co.in
D. H. INTERNATIONAL,WATIRALIROAD(HADARGRAM)WARDNO.22P.O.KARIMGANJ KARIMGANJ,Assam,788711,"Tel :
															JFFIJNLKQQ",mohanbps@yahoo.co.in
,"VILL. & P.O. SOMAIPUR, PURBA PARA, P.S. AUSGRAM, GUSKARA, BARDHAMAN",West Bengal,713128,"Tel :
															JFJIINHNMQ",rahulagarwalindia@gmail.com
MAA GANGA RICE MILL,"VILL. & P.O. SOMAIPUR, PURBA PARA, P.S. AUSGRAM, GUSKARA, BARDHAMAN",West Bengal,713128,"Tel :
															JFJIINHNMQ",rahulagarwalindia@gmail.com
,"Property No. 790, Bendewadi ,At post Nirgude,  JUNNAR PUNE",Maharashtra,410502,"Tel :
															JBLJGMKLPL",info@poorva.co.in
POORVA AGRO EXIM,"Property No. 790, Bendewadi ,At post Nirgude,  JUNNAR PUNE",Maharashtra,410502,"Tel :
															JBLJGMKLPL",info@poorva.co.in
,"E-304, SHREE AKSHAT AANGAN, NR. SATYAM HOMES  VISHVAS CITY-2 ROAD, GHATLODIYA AHMEDABAD",Gujarat,380061,"Tel :
															JHIFLNNOPR",cjp.raghwani@gmail.com
Raavee International,"E-304, SHREE AKSHAT AANGAN, NR. SATYAM HOMES  VISHVAS CITY-2 ROAD, GHATLODIYA AHMEDABAD",Gujarat,380061,"Tel :
															JHIFLNNOPR",cjp.raghwani@gmail.com
